==14129== Memcheck, a memory error detector
==14129== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==14129== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==14129== Command: ./RunCollatz
==14129== 
6233 8992 257
10338 4375 262
4956 9381 262
5477 5106 192
1798 2104 175
7732 5011 262
8104 5470 262
8330 11893 268
4121 6919 262
7487 8410 252
8460 5341 262
11549 13753 276
9967 10729 255
11501 10739 268
19192 20759 274
20705 20574 212
9068 13707 276
8687 4525 262
14353 23091 279
26341 18015 282
7610 8073 252
14684 16166 271
3507 7239 262
8022 13321 276
11069 7518 268
18702 14317 279
3347 5755 238
2584 8295 262
25464 27286 308
18067 17471 279
9168 13150 268
20301 17674 274
24858 25766 264
23244 25907 282
17342 22311 279
39599 35027 324
20147 17820 274
19499 15862 279
29626 33746 285
8863 13547 276
26744 25723 308
35881 36118 249
37977 34991 324
43697 47415 314
34047 39988 324
39917 37870 275
17067 13987 271
12315 9795 268
45252 40723 314
42732 46011 314
44797 43727 270
12864 22103 279
25661 28647 308
44353 44605 239
10309 2998 262
45202 49245 314
27429 26412 308
37598 44811 306
26236 24328 264
41163 37310 306
57345 58126 273
56004 49276 340
15039 15087 271
21614 14577 279
15921 13304 271
64854 56778 335
14467 10131 276
34205 34128 236
43772 41188 288
23988 16250 282
52074 48516 309
19072 20711 274
20964 19053 274
42582 42684 226
13271 11020 276
22029 21703 269
32177 29657 285
69776 64215 312
47148 42474 314
22994 24958 282
63600 64881 299
47862 46420 314
51897 58581 340
37319 39610 306
48432 53119 340
58597 59750 273
72517 70953 325
15774 13995 271
27821 26487 308
59193 59760 273
32302 28724 285
33100 37408 324
39385 39587 244
60652 62100 335
41263 38624 306
54389 56065 260
38188 38151 200
72678 74215 294
35420 31739 311
54632 52709 322
94154 86877 333
23063 23409 220
87378 89020 333
85672 91314 333
16373 18824 279
82710 82525 320
20358 20472 243
96551 101025 341
29912 27247 272
51197 52515 309
76300 81039 351
32875 29050 285
15532 12421 276
41019 41879 257
66658 66094 268
64282 58881 335
40239 34093 324
106493 112130 323
112678 110848 323
77314 77431 201
74142 72540 294
19218 25948 282
113943 113364 292
64652 64029 299
84097 79440 320
81994 83023 320
113830 114648 305
112244 117860 349
58272 57935 229
27731 30658 272
41057 38191 306
61853 53212 335
53684 49631 340
12925 11817 263
96505 95990 297
74143 70671 325
93252 89441 333
64243 70120 312
87565 86690 333
10986 11549 237
47954 45815 314
92870 94980 315
14709 21493 279
74856 69978 325
44876 49213 314
13280 17143 271
118802 119806 318
20931 21489 256
107014 114231 323
15430 8230 276
130245 131319 331
73849 76988 325
93215 92589 315
101485 107038 354
139962 144665 375
127099 129262 331
9883 5201 262
127050 128386 331
28446 28871 228
16139 10147 276
61220 60824 335
141692 145097 375
128608 129025 331
104253 104487 297
52858 50959 340
150973 150828 264
101848 107520 354
91635 89725 333
79928 76565 351
121097 117885 336
15326 14433 271
119474 123632 336
73561 68556 325
102848 97603 341
17542 19750 279
95620 93661 328
160466 160233 370
59080 53821 322
109351 109222 292
103290 106611 354
140832 141425 282
62416 61530 317
92151 98765 328
68647 66522 312
105742 107841 354
20551 21835 256
75871 72520 325
38639 35799 306
142057 139859 344
34822 33822 311
35222 36335 324
39930 40028 306
91491 98147 328
118911 112818 349
69495 72525 325
144903 146085 295
147561 153076 370
149764 147815 326
77302 77832 245
151505 151091 246
147771 149781 326
78774 78385 307
133344 127188 344
74337 70392 325
29755 34404 311
102740 107277 354
179163 180221 303
183490 183819 241
66156 63249 330
65859 60726 335
24992 21021 282
72587 74703 294
12863 17811 279
191769 190203 329
11856 11362 237
84613 85820 302
57095 57323 304
191472 198339 360
79788 85366 320
136050 132919 344
62681 68770 330
